Bot1,Bot2,Bot3,Bot4,Bot5,Bot6,House,,,,,,
30.05,-100.45,39.7,36.75,-63.05,-100,1.57,,,,,Average,Times Profit > 30
-100,-102.6,-108.95,-53.35,-100,37.8,4.27,,,,Bot1,-22.3785,37
-35.1,-100,31.45,-100,-72.1,-100,3.76,,,,Bot2,-70.2674,17
-51.6,-100,32.45,-37.2,-100,31.3,2.25,,,,Bot3,-68.6258,20
32.65,-33.7,-103.2,-61.75,-79.65,-100,3.46,,,,Bot4,-5.077,51
37.1,-100,-100.6,5.15,36.95,-100,2.21,,,,Bot5,-41.7083,29
-46.75,-102.8,33,35.7,-100,-68.1,2.49,,,,Bot6,-49.738,17
-71.35,-104.05,-105.15,40.7,-100,-100,4.4,,,,House,2.5781,
32,34.45,-100,-44.55,41.85,-100,1.36,,,,,,
-59.85,-107.15,38.95,30.8,3.85,34.25,0.59,,,,,,
-100,37.95,-105.55,-74.2,-100,-50.35,3.92,,,,,,
40.85,-100,30.15,33.65,49.55,-74.75,0.21,,,,,,
-67.6,-102.65,-103.26,-91.9,30.4,-8.15,3.43,,,,,,
-100.8,-100.05,-108.65,43.8,-100,-43.65,4.09,,,,,,
34.6,-100,30.8,33.65,-100.45,-36.4,1.38,,,,,,
-64.75,-52.3,-48.2,37.8,-57.55,-14.05,1.99,,,,,,
32.35,-100,-100.1,43.95,-48.55,30.85,1.42,,,,,,
-28.6,-101.25,-100,40.4,-88.65,-62,3.4,,,,,,
-86.1,-105.95,-100,31.85,34.2,-100,3.26,,,,,,
33.45,-103.5,-105.15,30.9,-100,-100,3.44,,,,,,
-91.65,-100.25,-100.66,40.2,-101.53,31.45,3.22,,,,,,
45.35,38.9,-102,-25.35,38.25,4.45,0,,,,,,
31.95,-105.7,-100,31.4,-100,-100,3.42,,,,,,
30.1,34.3,-100,36.75,-62.45,30.65,0.31,,,,,,
38.05,-102.35,-106.8,34.9,-100,-65.1,3.01,,,,,,
19.1,-100.05,35.7,-22.75,-100,-20.45,1.88,,,,,,
-29.2,-100.95,-109.35,34.5,-100.7,-100,4.06,,,,,,
30.95,-104.8,-100.37,-30.1,31.3,-22.85,1.96,,,,,,
-38,-100,-100,-38.4,-100,30,3.46,,,,,,
-24.65,-104,-106.05,37.4,33.6,-100,2.64,,,,,,
-92.1,-100.1,-100.2,32.5,-56.05,-38.55,3.55,,,,,,
-103.6,-100.05,-109.12,-23,-36.7,-73.15,4.46,,,,,,
33.1,-37.6,-39.6,38.35,-20.45,-11.5,0.38,,,,,,
13.45,-20.6,-100,31.25,30.9,-100,1.45,,,,,,
-39.9,-100,-101.35,-24.2,-49,30.4,2.84,,,,,,
38.3,-37.35,-58.75,30.05,40.4,-100,0.87,,,,,,
-97.95,-100,-103.05,-41.7,-6.7,-35.4,3.85,,,,,,
3.3,-100,-109.5,38.2,39.35,35.2,0.93,,,,,,
-31.7,-101.75,-100.75,30.65,-66.3,-100,3.7,,,,,,
33.4,-104.65,42.2,-77.6,-14,-32.6,1.53,,,,,,
-9.9,34.65,-22.65,30.05,30.85,-100,0.37,,,,,,
30.6,-14.65,-100,32.75,-103.75,-48.8,2.04,,,,,,
37.5,-100,-101.75,38.85,-100,-100,3.25,,,,,,
33.55,-105.25,-95.35,-37.6,-62.75,-96.9,3.64,,,,,,
-2.95,-100.5,-103.15,30,-100,33.35,2.43,,,,,,
-71.15,43.4,44.9,33.4,-32.5,-7.2,-0.11,,,,,,
-36.85,-52.1,-100,-9.9,-56.9,-96.35,3.52,,,,,,
31.15,-101.65,-102.15,-29.6,-100,-100,4.02,,,,,,
35,40.1,-71.4,31.6,-100,-100,1.65,,,,,,
-30.5,36.45,-107.2,-100,-29.75,-50.95,2.82,,,,,,
-93.15,-100,-101.05,30.5,-20.25,-100,3.84,,,,,,
-61.55,-106.2,-27.55,-28.6,-100,-100,4.24,,,,,,
33.85,-23.45,33.9,-100,32.15,30.95,-0.07,,,,,,
14.45,32.15,-100,-15.6,34.45,-100,1.35,,,,,,
-75.5,-100.1,-100,30.75,-21.25,-23.3,2.89,,,,,,
-85.35,-101.05,-101.1,-6.45,-100,-28.95,4.23,,,,,,
-102.95,-100,-100.35,-6.35,-67.8,-100,4.77,,,,,,
-78.45,-100,-107,33.9,36.2,-51.5,2.67,,,,,,
-100,-100.9,-100,-80.35,30.2,-100,4.51,,,,,,
-100,-102.25,-100.4,-100,-109.45,-100,6.12,,,,,,
-77.6,-100,41.9,34.85,-0.8,-73.6,1.75,,,,,,
-100.3,-100.1,-100,58.9,-100,-100,4.42,,,,,,
-12.05,-100,-100,-19.25,-34.4,-60,3.26,,,,,,
-29.8,-100,-100,33.65,-100,-66.3,3.62,,,,,,
30.85,-100,-107.25,30.45,34.7,-41.45,1.53,,,,,,
31.8,-106.85,-100.45,33.2,-12.45,-80.15,2.35,,,,,,
-32.6,-107.8,-108.75,-92.2,-100,-67.7,5.09,,,,,,
43.6,-81.2,-109.8,-5.45,-60.1,-100,3.13,,,,,,
-100,-100.37,-108.7,-64.45,-100,-25.35,4.99,,,,,,
-14.45,-104.8,-105.35,30.15,-51.25,-71.85,3.18,,,,,,
-21.35,-104.12,-106.45,47.25,-100,-67.3,3.52,,,,,,
-72.4,34.2,-107.8,31.4,-8.8,36.2,0.87,,,,,,
46.3,-100,-107.2,-76.05,-100,-100,4.37,,,,,,
-81.4,30.45,-100,-27.1,-57.85,-100,3.36,,,,,,
32.95,-100.35,-106.85,30.7,-54.75,36.65,1.62,,,,,,
-43.05,-88.15,32.9,-100,31.1,-38.8,2.06,,,,,,
-100,-100,-100,-38.95,34.75,-100,4.04,,,,,,
-13.5,-100.75,-51.3,-17.15,-107.9,-100,3.91,,,,,,
31.95,-100,-101.2,31.65,-40.15,-21.7,1.99,,,,,,
37.8,-69.75,-103.3,31.55,-100.1,-100,3.04,,,,,,
37.3,39.4,-40.75,38.35,-37,-56.45,0.19,,,,,,
-35.05,34.5,33.55,30.2,37.95,37.3,-1.38,,,,,,
38.45,-101.2,30.05,35.65,38.8,-100,0.58,,,,,,
-100,-104.45,-102.15,-100,33.6,-6.95,3.8,,,,,,
33.15,33.8,-100,-3.7,-45.35,-33.75,1.16,,,,,,
39.35,-100,30.35,4.25,-100,31.1,0.95,,,,,,
-100,-13.9,-100,36.15,31.6,-49.85,1.96,,,,,,
-40.4,-100,-100,-8.2,-100,-65,4.14,,,,,,
-49.15,-54.2,41.85,-56.45,30.9,-24.05,1.11,,,,,,
-26.65,-107.6,-108.8,-100,-100,-100,5.43,,,,,,
-100,-64.6,-100,-100.05,-100,-100,5.65,,,,,,
-38.05,-100.05,30.85,-41,30.4,-100,2.18,,,,,,
-31.4,-100,-15.57,-100,36.45,-31.8,2.42,,,,,,
37.2,33.5,-104.85,-84.65,-100,31.15,1.88,,,,,,
39.75,-101.2,31.2,39.35,-100.8,-34.95,1.27,,,,,,
37.25,32.55,-105.1,-39.65,39,38.45,-0.03,,,,,,
-100,30.65,31.3,31.4,34.15,-80.9,0.53,,,,,,
-42.7,-71.95,-105.65,37.8,34.15,34.75,1.14,,,,,,
31,-100,30,-7.9,-100,-22.65,1.7,,,,,,
-21.3,-100,-105,35.05,-52.85,1.5,2.43,,,,,,
